,用户名称,用户性别,用户id,vip等级,用户评论,评论点赞次数,评论时间
0,机读仓没有体面人,男,39023499,5,孙颖莎的脸部是不能出现棱角的 建议再画一次 实在不行可以借助圆规,18609,1628467507
0,小李写立可白,保密,24027505,5,弹幕里有人问为什么要用红笔写名字。是为了醒目，更直观地看到。别天天特么扯你那些奇葩的古早玄学。,7778,1628565265
0,叫菠萝好了,保密,356095103,5,为啥不多夸夸up？就算是番剧，也要靠不同的发色，服装和饰品来更好地区分角色，up只能画运动员头部，她（他）们发型又大多相似，看起来像是很正常的事情。希望大家不要过于关注这一点，多夸夸勤奋的up！棒棒哒！[大笑][大笑][大笑],26707,1628431817
0,琥珀小姐姐特别A,保密,18788570,5,首先说一声：UP辛苦了[给心心]其次就是……不想抬杠，但由于人数的关系，暴露了UP选择的这种画风的缺点：一旦超过三个人，人就都成了一个样。尤其是，运动员的发型雷同，发色也全都是一致的黑色，就连服装也是统一的，所以无法像常见的日漫一样通过发型、发色、服饰、造型来区别角色。出现了“千人一面”的缺憾。这并不是UP主画的不够好，而是选择的画风，必然会导致这个问题。以致于UP不得不在每个角色旁边标注角色名和参赛项目，方便读者区分。我个人建议是：画风不可能大改，角色区分有难度，但依然还是有些讨巧的方法可用的。比如，射击运动的角色，可以给她手里加一把枪，甚至直接画成瞄准射击的状态，方便读者区分。举重的运动，可以画上杠铃。吊环运动可以画上吊环。游泳可以画上水。如此类推。运动员多，不好画。但运动员本身有各自的项目，这是区分他们每个人的重要环节。说是“讨巧”，但其实如果真的按照我所建议的来画，UP主要付出三倍至五倍的时间精力。不强求UP采纳建议，我自己也觉得有点强人所难。再次，辛苦UP了。[脱单doge],5800,1628555323
0,春日原野_,女,1977320852,3,大问号了……还有人说因为画得不像所以点了踩……请问现在是必须要人均打印机才能画吗？因为热爱所以画出来的有瑕疵就是错的吗？什么时候画画的门槛这么高了，到底还是出圈了引来一群恶臭人,6662,1628493728
0,怡崽要上王者,女,507153926,4,什么？没有课代表？那我来吧[doge]杨倩00:08侯志慧00:32孙一文00:39施廷懋00:47王涵00:51李发彬00:57谌利军01:01姜冉馨01:07庞伟01:12张家齐01:16陈芋汐01:21杨皓然01:24陈云霞01:29张灵01:33吕扬01:37崔晓桐01:42谢思埸01:47王宗源01:49石智勇01:54张雨霏01:59陈梦02:02朱雪莹02:09马龙02:13卢云秀02:18吕小军02:22巩立姣02:26陈雨菲02:29汪周雨02:33刘洋02:37李雯雯02:41邹敬园02:45张常鸿02:49管晨辰02:52全红婵02:57刘诗颖03:00曹缘03:04许昕03:07樊振东03:10鲍珊菊03:14钟天使03:16孙颖莎03:20王曼昱03:22黄东萍03:25王懿律03:27汤慕涵03:31张一璠03:33李冰洁03:35董洁03:37杨浚瑄03:40累死我了,631,1628509794
0,曦儿童,保密,317415104,3,希望旁边加个肖若腾，毕竟这是中国人心目中的冠军,14625,1628420778
0,Sunset寒笠,男,472957532,4,这评论区的人都什么鬼东西啊？[辣眼睛] B站都沦落到这种地步了?[疑惑]人家up确实用心画的，到您嘴里倒是不值一提了，那把您的大作发出来呀[嫌弃]自己没本事还怪人家蹭热度[阴险],968,1628566838
0,裸奔在沙中操场,保密,456090582,2,这届中国选手都太拽了 得奖都不笑一下的[脱单doge],8380,1628422378
0,37zrd,女,95983428,3,烦死了，漫画又不是人像写生，除了夸张性历史/政治人物漫画，人像五官特点真的没法做到那么突出，漫画和素描不一样！漫画和素描不一样！漫画和素描不一样！求实和求美的关系，自己学着去画画(^ ^),915,1628478483
0,肖战辣鸡了,男,66388311,4,这眼神怎么都一样啊！不是藐视就是一副你欠我钱的表情[笑哭],9390,1628421988
0,哲哲哲同学,男,8495180,6,晚上会把原图发动态，这次时间限制只画了冠军[跪了]，但所有参加奥运会的运动员都是帝国的绝凶虎[doge]就是要寂寞无敌的拽劲,20108,1628421198
0,41Libra,保密,87706483,6,感觉中国的冠军们在说：“看，金牌，想要吗？我们凭实力拿的。”,4030,1628404328
0,树下啃面包,男,8734556,6,今年奥运会虽然失去了很多本来应该到手的金牌，但在一些项目中，我们的运动员实现了零的突破，带给了我们许多惊喜。这届奥运会，疫情和搞事的东道主都盖不住中国健儿的光彩！期待大家平安归来，三年后巴黎再创辉煌！,5430,1628410211
0,支足Ldo,保密,7555467,6,emmm，专门翻了up以前的作品（有两个以前我还刷到并点击看过），比起人物神态，更注重画面色彩的艳丽。在画黑白时，短板就暴露出来了。我不是来找茬的哦，既然up凭借“奥运冠军”而不是“大头练习”来获得流量，那我就会拿对待奥运相关的大流量视频的态度来对待这个视频。,1457,1628442285
0,过期美少年侦探柯南,保密,37759770,5,同为美术生，up画得不错，线条干练简洁，明暗区分的很好，有细节，不同角度都把握得很到位。但是千人一面，不写个名字，真不知道这是谁跟谁，把名字换一下，你也说不出哪里不对，人物的个性提现不出来。,651,1628462994
0,第国,男,335474853,5,有一点，就是怎么所有人都是一个模样，没区别了呀，而且我觉得运动员和日漫中的青春人物区别是蛮大，比如中国举重队的几位选手，他们的面部特征特别明显，额头宽广，脸上肌肉线条分明，真是连脸上都是肌肉块，光看脸就知道他们荷尔蒙分泌特别充足，但你画的又变成小鲜肉的脸了,691,1628454563
