,用户名称,用户性别,用户id,vip等级,用户评论,评论点赞次数,评论时间
0,己经不剩一发还没w时,保密,286610488,5,难道不是荒野记录第2天吗？,15919,1629192619
0,青莲又失利了,保密,179922650,6,前排！！！[doge][doge],10055,1629192803
0,ー只白色QvQ,保密,488981341,4,丑小伙你大会员到期了[doge],7323,1629192670
0,拉面多多,保密,326148185,3,荒野求生第二天梗概:丑猴子和帅尼、帅贤因争执闹掰。所以一个人连夜造了个木筏顺水飘到了宁夏，顺带吃了个羊。这么说很合理吧[doge][doge][doge],3980,1629193116
0,lxy1125,保密,264994410,4,蛋黄派还在荒岛，这是他的哥哥，帅大伙[doge],2732,1629192777
0,安娜不止三岁半,女,95827387,5,哈哈哈哈作为宁夏盐池人真的蛮开心的，毕竟是自己的家乡嘛。我们这边羊肉是必备了，但是对于我一个口味比较刁的人而言还是要看手艺的，做得好的人家也是很多的做好的羊肉真的很香，我们这边的羊做得好没有膻味的，而且羊汤特别鲜，我们吃完羊肉会拿羊汤煮面吃，也是很好吃哒其实以前吃习惯了一直没什么感觉，直到前不久外地的朋友来这边做客，吃了羊肉之后，几天都在和我惊叹羊肉的好吃，而且说他们那边羊肉很膻[打call]所以大家想吃等疫情结束可以来宁夏哦，但是记得做好功课，最好是来吴忠或者盐池，本地也是有假滩羊的啦，有幸吃到过emmm我不喜欢反正欢迎来宁夏[吃瓜],285,1629221820
0,kvsur,男,14451744,5,03:48 7.30的视频了[歪嘴][歪嘴][歪嘴],1176,1629199448
0,我的美图动态更新了吗,保密,363772428,5,宁夏的滩羊是真的好吃，特别鲜。家里自己养的，喂草料膻味是最小的，18年被请客吃了一次，头一锅拿大料葱姜煮出来，半瘦半肥的沾点醋，那味道真的绝了[捂眼]，今年不知道还能不能再吃一顿[羞羞],1426,1629192888
0,3333ljej,保密,405762947,2,省流：🌊🪨🌲-✈️          🐑🐑🐑🐑🐑🐑💨💨     🏃🏻          🔪-🍖-🤪妙啊～～,1468,1629193749
0,YOYO科技范,男,78995694,6,@绵羊料理,1216,1629193011
0,百度地图官方账号,保密,494106427,5,你好，帅小伙[藏狐],924,1629194104
0,好绿友桑,保密,285876482,5,宁夏人真的很骄傲！欢迎大家来宁夏玩！,549,1629192968
0,我又不姓上官,保密,291825360,4,现在是17.40，刚发五分钟的视频，刚看到弹幕里有一个人说大半夜刷到的，看饿了。[藏狐],861,1629193350
0,141350,保密,162718711,5,第二天早晨帅小伙：东尼，阿贤，我突然想吃羊肉了，你们先挣扎一会，我飞去宁夏吃顿羊肉就回来。[doge],228,1629194258
0,苍顾,男,437083062,4,蛋黄派：这小羊怎么不怕人啊小羊：这小猴怎么不怕羊啊[doge],99,1629199323
0,南京磨刀石,保密,428132997,4,快更荒岛求生，东尼,465,1629192787
0,萌新-小可,保密,344732776,4,派派是属于好看和难看都占了，俗称好难看[doge][妙啊][妙啊][妙啊][妙啊]拼命加狗头保命,143,1629197452
0,先几,女,538242151,4,突然想看蛋黄派跟绵羊的梦幻联动[脱单doge],327,1629192770
0,记录生佸的蛋黃派,男,1226154771,3,少年我看你骨骼惊奇，习得这本书后你必将成就白嫖神。┏┳━━━━━━━━━┓┃┃█████████┃┣┫████┏━━┓█┃┃┃████┃白 ┃█┃┣┫████┃嫖 ┃█┃┃┃████┃秘 ┃█┃┣┫████┃典 ┃█┃┃┃████┗━━┛█┃┣┫█████████┃┃┃█████████┃ ┗┻━━━━━━━━━┛至于价钱嘛 不多 只需一赞即可获取[脱单doge]↓↓↓[脱单doge],5,1629246869
0,夜雨浅秋の日更美图,女,513778858,4,不懂就问，视频里面有帅小伙吗，我怎么没看见[doge],332,1629192668
0,红鱼牧歌,保密,622652944,4,宁夏人报道！[doge]上次某杰瑞去银川完全没吃到正宗的宁夏特色，滩羊肉yyds！,51,1629202018
0,花心大菠萝o,保密,177389663,5,封面怎么2个up主？[思考],50,1629200400
0,蕾姆私ki达yo,保密,95718784,5,妙啊4：44 不用谢,165,1629192694
0,事随-风往,男,2119804754,3,关于某个人去荒野记录，怎么跑到宁夏去吃宁夏滩羊[doge][doge],97,1629192801
0,汝之剑甚慢,保密,525532925,4,《关于我荒岛生存时中途去吃宁夏滩羊这件事》,29,1629199412
0,小林爱吃某幻的野屎,保密,1312743698,3,帅小伙：妙啊羊：咩啊[doge],42,1629195306
0,暖逸呦,保密,229807043,4,宁夏人狂喜[doge][doge][doge],17,1629197100
0,我只喜欢小怪兽,保密,18723654,5,帅小伙X牧羊犬✓,14,1629199355
0,魜形藕,保密,444201741,4,怎么不是帅小伙的荒野记录[doge],36,1629192783
0,帅小伙25,男,551123847,3,别胡说，我可没去[doge],2,1629243714
0,无聊的桌腿子,保密,442339865,4,纯路人，请问up主是封面的哪一个？[doge][doge],21,1629192690
0,夏诺雅-shanoa,保密,397582837,5,04:42你最想要的 [脱单doge],4,1629212956
0,旂已,保密,457110806,2,你不知道的冷知识 :别人是在遛狗，而丑小伙是在遛羊 [doge],11,1629198203
