知乎作者,作者id,回答时间,赞同数,底下评论数,回答内容
没什么高见,c1af9453151786e29c38f31617fad655,2021-08-11 09:47:56,1385,365,实习生坐标，至少发这条回答的时候还在，这实习生老爸其实是上市公司副总裁，人家根本不是什么普通打工仔。可以确定的是他在实习生群发的东西已经触碰红线了，大概率会凉凉。而他的，多少会郁闷一段时间吧他的导师和群里几个实习生对他的评价都是过于爱表现、喜欢出风头。其实吧，不论是实习生还是普通员工，有想法是好事，但爱表现、过于自大就不好了。职场忌讳的是私自公开对话内容，估计搁谁碰上他这样的都得防着他吧。医药公司，营销家庭出身，以正义之名博取名利。网友还说这是“正道的光”？这样的做法，不觉得有什么值得鼓吹的。
Sean Ye,46434180b257f06a2616522729e5a79c,2021-08-11 01:55:15,11578,823,看完这段充满浓重自我营销的表演后，我有点尴尬。但是论迹不论心，是作为评论者的基本素养。所以不管他爸爸是天力士还是士力架的高管，我们单纯来谈一谈他的部分做法。他大概做了这样几件事：、给马化腾刘炽平直接发企业微信：给高管发企业微信这事情，本身在我看来没啥毛病。企业微信的核心价值就是跨越层级，平等交流，实习生照样可以给高管发微信。但这位小哥哥存在一些用词不太合适的地方，包括：）感叹号用得过多：感叹号在职场沟通里，往往与重要紧急挂钩。即便如此，个感叹号基本上能够表达自身情绪。这位实习生用了个感叹号，马化腾个，刘炽平个充分展现了两人在腾讯的地位差别（狗头讲句真心话，在职场上，就算是平级，就算给自己的下属发微信，我也不建议这样频繁使用感叹号。微信沟通，不同于当面沟通，缺少表现、动作和语气，所以的情绪都在文字里，所以标点符号的使用，非常重要。这么说，不知道大家觉得对不对啊觉得对，是不是能点个赞啊我们要严格杜绝认为讲得对，但是坚决不点赞的行为发生在本回答当然，如果有不同想法，我们也可以评论区讨论。）为阿里此行为发声首先，用词不太准确，此处的为，最好改成就其次，现在就此事发声合适吗？听说小哥是营销世家出身，营销上基础的细节还是需要学习。拿竞品的负面案例去做拉踩营销，是营销中的一大忌讳。当年，神州拉踩不安全的广告，就曾一度遭到全网批评。当年大战，媒体发文狗日的腾讯，马化腾也生气得骂出一句：他们怎么可以骂人呢？腾讯在事件营销上，尤其是负面事件的营销上，向来比较谨慎。这是需要这位实习生小哥哥学习思考的地方。在这个时间点上，做营销，第一是不是合适？第二是不是腾讯的风格？）务必回复一般来说，我不太愿意给同事发务必回复。这种命令性质的用语，在职场的沟通上显得过于居高临下，给对方以压迫感。如果我需要让对方回复，我会用：这件事比较着急，麻烦看到之后回复，有问题随时电话，感谢。结构：强调原因提供可选动作表达谢意）自说自话，缺乏聆听的能力刘炽平的回复，还是有水平的。第一，他强调了腾讯对于性骚扰零容忍的态度，安抚了给他狂送个感叹号的实习生小哥哥；第二，他指出腾讯和阿里面对的情况不同，所以要开展的工作也不同第三，他给出了后续解决问题的负责人搞定。接下来，实习生小哥哥有两个选择：要么静候的声音，要么主动找到负责企业文化的，要协助他们的工作。然而，小哥哥没有上套，还沉浸在自己的解决方案里：我要拉上其他实习生干票大的哎，聆听能力，其实是沟通能力的一个核心要件。沟通能力再强，都怕听不进去。推荐特邀顾问马克郭士顿的一本关于倾听的书，职场沟通必备）代词不统一有时候用您，有时候用你。建议统一成你。）标点符号用错谢谢，您的回复这一句中间的，可以去掉）用词需要斟酌小伙子用了条令这个词，一般来说，在企业层面，说规章制度。什么层面说条令呢？可能和天力士的军队文化有关吧、大群里发倡议大群里发倡议，其实倒也没啥问题。我看到腾讯一直在撤回，这事情是做得不对。小伙子站在道德高地上，你们这么粗暴的应对手段，对得起刘炽平机警的回复吗？这件事，最好的应对办法，是设定一个范围，给大家自主讨论的空间。我如果是，我会留言：感谢这位同事的倡议，关于保护女性员工合法权利这件事，我们也在落地做一些方案，借着这个机会，我们在内网发了一个帖子，希望和大家探讨一下在你看来，我们应该如何保证女性员工的权利，请大家移步内网（上链接）一方面，控制讨论范围，不要影响正常工作；另一方面，收集信息，为公司之后出台相应政策做准备。、和爸爸的对话之后这位小哥哥的行为就开始放飞自我了。和爸爸的对话略显刻意。职场上家庭里有一条规则：想要和人深入交换看法，建议打电话。如果我希望我爸少喝酒，我大概率是当面说，或者打电话说。结果，给爸爸在微信里发这么官方的通知函。如果我是爸爸，我的第一反应是：是被他妈逼着发的吗？还是他女朋友逼着发的？还是儿子酒喝多了结果，他爸真的是配合你演出的我，演视而不见。直接开始点企业名和企业文化可能真的是有其父必有其子吧。（有趣的是，从公司性质以及公司文化来看，他爸公司出问题的概率要远比腾讯高，这位实习生居然只给了自己老爸两个感叹号）多说一句，我建议应届生尽量不要去任何军队文化的公司。军队文化绝对服从。你看这位爸爸就很疼自己儿子，把儿子送到了讲究平等透明文化的互联网如果他儿子在天士力我怕老爹的饭碗保不住。当然，到这里依然只是略显尴尬。、截图发社交媒体直到他把这一切发到了社交网络上，给朋友看，进而传播到了互联网上。这是明确违反公司制度的员工不得外传内部沟通记录。当然，小哥哥的目的可能就是为了展现他和高管、和父亲的聊天记录，最后这一哆嗦没有的话，就真的变公益行为了。多说一句，我敢说马化腾大概率现在握紧了刘炽平的手：，还是你滴水不漏啊。我没当回事，差点酿成大祸。现在的标题是腾讯总裁回复：对性骚扰零容忍要是也没有回复，那就变成了：实习生要求马化腾为阿里事件发声，腾讯高管置之不理而这位小哥哥的解决方案，车轱辘话来回说，就两句要紧的：出台拒绝陪酒的条令；完善反性骚扰规则。说白了，这只是保护职场女性的多种工作中的一部分工作。如果是我，我会在内网发一条消息：针对阿里的事情，我认为我司也应该做些事情，防止职场女性遭遇酒桌文化，职场性骚扰。我想发起一个倡议，我自己草拟了一部分我觉得可以做的事情，包括：。也想听听大家的建议。这件事但凡在内网里讨论一下，就会有很多话题延展。比如，性骚扰的场景很多，光禁陪酒够不够？比如，女性下属有很多顾忌，怎么能够解除他们的顾忌？再比如，在保护职场女性之余，我们如何保证目前的手段不会被滥用于私人报复？这其实是一个很好的学习机会。我倡议的同时，学习到了别人的观点，其他同事的思维方式。我总结归纳起来，也是一种收获这对实习生来说，对未来的成长是有帮助的。当然，这种帮助见效没发朋友圈那么快。但凡这位小哥哥是真的想为腾讯的女性做点事情，就不适合单方面替女性同事拍板搞倡议。你咋知道你给全公司做的决定，就是最好的呢？事实上，这事情的解决方案：制定规范，完善在员工手册里；开设专门的女性员工防性骚扰培训（我们在外企就有这样的课程）；新建一个防性骚扰职能的热线电话，负责收集女性员工的举报；在办公室显眼处张贴反性骚扰举报电话，和相关培训的二维码由一个具体部门，比如工会，负责处理相关举报其实在阿里员工在内网的讨论就挺赞的。事实上也是这一波热血的阿里员工把性侵事件曝光出来，才让正义得到声张。在这件事上，想做事的人，和想表现的人的所作所为，是有显著区别的。很遗憾，从我目前看到的信息：他不太像是一个想为女性同事做一点事情，贡献一点力量的人。公众号：瞎说职场我的知乎作品：掌握这十招面试技巧成为面试达人听说你想进入咨询行业？
雷空桑,33e96f0d973103a8a988b4627e95e3f0,2021-08-11 16:10:31,1121,60,阿里味很重，建议祁同学立刻加入阿里。祁同学只是实习生，但沟通时敢称腾讯为“我集团”，这明显符合阿里价值观，“此时此刻，非我莫属”。腾讯不是没有龌龊事，但举报机制一直是有效的，体系健全，一直以来没像阿里，把权限过度下放，不太会出现“基层管理者侵犯下属，消息都传不到人力资源中台”的情况。但是有则改之无则加勉这叫“今天最好的表现就是明天最低的要求”，这事儿没轮到腾讯腾讯就不反思么，不，要定下没问题也要改革的决心，才能贯彻“唯一不变的就是变化”。刘炽平虽然回复了“我们跟阿里很不一样会处理建议”，但是我祁公子还是要“维护职场女性，联名实习生监察公司”，待到铲平贼乱，再大政奉还给总经办、部门。舆情满意度上讲，用户绿牌实习生蓝牌实习生员工（总经办、）股东（刘炽平）。这叫“客户第一，员工第二，股东第三”。“务必回复”，此句一出，刘炽平点也得回消息，更体现了工作和生活是不能分离的，这叫“认真生活，快乐工作”。这消息不回，哪敢睡觉在祁公子的带领下，腾讯和天士力异业合作，给天下职场一片河清海晏，这叫“一群有情有义的人，在一起做一件有价值的事”。找亲爹要支持，这才是“因为信任，所以简单”。待到这波挣足了流量，天下也就没有难做的生意了。阿里新版价值观这波足可见，阿里六脉神剑的正统继承人在腾讯，建议阿里全力腾讯医药组，重金猎挖，营救储君，班师回杭，待到新王即位，阿里的国祚必能绵延年。分割线读到这里，是不是觉得我写这个，就是嘴欠，就是来阴阳怪气的？好，那我说点正经的。以上是“归谬反证”。如果你反职场酒桌文化，却用的是道德绑架、逼人回复表态这种方式来推动，只会让屠龙少年变成下一个恶龙。某企业有着冒犯式的破冰培训、服从性测试的管理表态、挟舆论和道德大棒逼员工“融入团队”，“皮实服从”，陪酒也是工作，结果酿成祸端。你为之不齿，所以义愤填膺，振臂一呼，然后：冒犯式的让隔了层的老板点回你消息；挟舆论擅自代表所有腾讯实习生；口口声声要维护职场女性，却把女性从业者占比极大的腾讯团队的努力当做了空气，腾讯团队相比阿里的“控制力”，更重视“影响力”。她们经年累月的维护雇主品牌，处理舆情、听取员工意见，算不算工作做得好？你都不问，为什么腾讯没翻这个车？你就擅自代替她们，去“反思”。你企图用“正确的话术”，“正确的表态”，来让自己做的事情，不得不被人认为正确。那实质上，你与阿里某些“念经师”就是同一种人。阿里不乏优秀的人，阿里的文化在创始团队的创业历程中，正面作用巨大。但如今阿里的文化，正在被一些“念经师”掌握了解释权，变相用来和压迫异见者，进而来控制员工行为。这个角度说，我建议祁同学加入阿里，是认真的。跟某些业务线，很对味。
夜鹰,2f448c3bd0447d7d1ad6c05871b330e3,2021-08-10 22:11:01,2367,354,不出所料，热搜第一，给自己火起来了，有了所谓的名声，腾讯转正不了去天士力就是了。想法不错，初生牛犊不怕虎。吃吃瓜就好，貌似是个二代，学不来的，实习生说话就是硬气。说话方式不行，加叹号给谁看呢，基本沟通方式都不会。企业微信内部截图也往外放，怕不只是发声还想火一把吧。刘炽平回复一句我们和阿里不一样，被人抓住做手脚算不算影响企业形象。在实习生群发文件有没有知会导师，有没有接受安全培训，什么能发什么不能发。带他的导师也倒霉。。。不顾及团队利益为了自己一时之快。可以吃瓜，不认同这种做事方式。职场都这么搞还玩个毛。年轻不是自大的挡箭牌。。。
每日一斤氰化钾,a0f4eb34f182fca7f58b9f760bb61ef8,2021-08-11 05:28:44,6460,318,近日，某大学学生会主席在腾讯暑期实习考察期间，对腾讯高层的相关工作部署做出了重要指示，实习爹强调：我司要深刻反省近日阿里事件带来的警示，狠抓“拒绝酒桌文化”政策的落实，坚决维护女性在酒桌上的合法权益。腾讯总裁刘炽平当场表态，要以阿里酒桌事件为诫，自纠自查，对任何形式的骚扰零容忍而同为高管的马某某则不识好歹，不表态不回复不执行，消极对抗，态度恶劣，建议其主动作出深刻检讨，并引咎辞职，否则实习爹将不排除采取一切手段予以严惩的可能性，包括但不限于终止实习等方式。后经调查组查明，马某某等人以开会为由，拒不执行实习爹的命令，意图对抗实习爹的追问，且在网络传播之后仍然不回复不执行，社会影响极其恶劣，主观恶性极大经实习生组织内部讨论，一致决定采取以下手段予以制裁：无限期暂停充值币；无限期卸载王者荣耀、英雄联盟等游戏；无限期取消音乐会员；无限期卸载微信；无限期卸载腾讯视频；炖一只鹅泄愤。希望马某等人迷途知返，悬崖勒马，知错改错，积极配合，不要做违背历史潮流的事情事后，因卸载了微信，实习爹们无法互相联系，而导致组织被迫解散。
知乎用户,a7cc1563a4ec36f0e11aa192667588be,2021-08-10 19:39:21,774,225,且不说有没有空看企业微信的问题这种问题根本就不归他管啊，搭理了算是礼数到了不搭理其实也无所谓实习生一腔热血是好事，就是这个“务必回复”实在是太没礼貌当然不提倡官僚主义，但是起码的礼貌还是要有的跟自己平级的同事也不能这么说话最主要，这又不是工作有关的内容，对方也不是负责这块内容的人那就没有回复的必要性而且这个“务必”，本来就很命令，很官僚，很酒桌文化另外还有一个问题，这个图的真假先不考虑截图企业微信外发，我觉得是个公司都是高压线吧入职的时候没人说吗估计这位的上司知道这事情，怕是如同三九天冷水浇头，怀里抱着冰
无离江湖,10a7ec19ed2623ad09366b7fc4b56b4a,2021-08-11 12:20:47,270,57,通过人类高质量实习生，学到了很多职场沟通新方式。下级对上级，也可以用务必回复。重要的事情，不管紧急与否，都要敢于尝试，并多用感叹号。具体如下：务必回复在处理问题时，可以不用顾及身份与职位，该尊重的时候就称呼您，该超越的时候就要当仁不让地称呼你。关键时刻，直呼其名，也不是没有可能。具体如下：相信您也你身为领导必须发声小马哥你好，相信您觉得领导做得好的时候，也应该给领导好评，并鼓励他继续努力，多用没问题。具体如下：没问题以身作则，杜绝任何不良现象。当同行出现问题时，无论如何，不管合适与否，都要求自己公司的领导，让领导发声。实在不同意，就联名上书。工作中要这样，生活中也要这样。包括给自己爸妈的信息，也应该严谨。劝父亲少喝酒，一定要书面说明，这样记忆更加深刻。感叹号是灵魂，同样不能少。即便是家里人，打电话沟通，也容易忘记，要留下书面的文字记录。具体如下：尽力做好分内之事。也希望你少饮酒学了这么多，我们来做个习题，练练手，复习下今天的功课。直接上答案：最后弱弱地问一句，大家学废了没有学废了，请务必回复你身为有志青年，尽力做好分内之事，希望你以后少喝酒（感叹号是灵魂）
风大　可稍息否,cec880bc57a7c7a365a10886712313fa,2021-08-13 10:06:10,136,9,有些事，不上称，没有四两重；上了称，千斤都打不住。一个组织系统里面，他的成员和事情都是经过筛选的。这就是为什么会出现“无数人的选择能够汇聚起来形成一头能思想的巨兽”的现象。有人总是说，国家不能拟人化。这个极端主义思维是错误的。国家不是不能拟人化，国家是不能过度拟人化。阶级也好，国家也好，社会组织也好，都是有自己的思想的。这个思想就是这个组织通过自身的运作而层层梳理筛选最后表现出来的。高力士的家族被唐王朝镇压，他自己也被阉割，但是他却成为唐皇心腹。郑和也是在战争中被明军从云南抓来阉割的，最后却成为明朝皇帝的得力干将。形成鲜明对比的是司马迁。司马迁的家族世受皇恩，结果他却为了包庇叛徒，弄到被阉割的地步。组织里的人是被筛选出来的。唐太宗李世民曾经要求大臣推荐人才。有个大臣头铁得不得了，怼回去说现在没有人才。李世民大怒，说古代治理天下难道都是借才于异代吗？你自己瞎就算了，竟敢污蔑一世之人这就是李世民的眼力和能力，所以贞观之治光照千古。后来唐明皇李隆基的时候，权相奸相李林甫有意将各地推荐来的人才全部黜落，然后说这说明“野无遗贤”。李隆基这老小子就欢天喜地的认同了。于是渔阳鼙鼓动地来，马嵬坡前无颜色。落了个善始而不善终。如今的情况也是一样。实习生给高层提建议，谁传递的建议？实习生给高层提建议，高层为什么要回应而不是已阅不问？这是郎有情妾有意，一拍即合。不得不说，腾讯的反应是相当灵敏的。这么大的组织，然后又是成名多年的超级企业，居然还能保持成这样，真的不一般。跟同行一比就相当不一般了。前边一口鸟要下跪投降，被枪逼着不许跪，就这还是一副膝盖有病直不起来、很不满意的样子。结果小企鹅面对制裁直接玩了一手“你抓周树人关我鲁迅什么事”，也不用舞刀弄枪的，这就过关了。后边“马宗彤”的人出了事，要跑的时候还是往一口鸟的翅膀下面钻（有个帖子说本来已经和一口鸟的人事递了帖子，准备这边开除走人那边走马上任，糊弄糊弄就过去了。结果事情一闹大，一口鸟那边又怂了没敢接）。然后小企鹅这边就来个“众所周知我与罪恶不共戴天”的操作。这就很说明问题了。怪不得那边马总统都快乘云了，后边的金主都开始暂停新增投资了，这边还一边挨训一边混得好好的。火车跑得快，全靠车头带。别的不怕，怕就怕你车里炖了火锅，还唱歌。
萧楚白,182ce1bd24ff07bd098f8178106cfeb6,2021-08-11 07:35:28,318,96,从截图时间上看，小哥做了预防措施，发给小马哥，就立马截图了，而到了点多，估计小马哥根本没看消息，他急了，又给刘炽平发一个，还强调务必回复。一时间我都没搞明白谁是领导。而刘老师在深夜十一点半回复，也真的是日理万机，宵衣旰食了。小哥苦苦等到十一点半，终于看到回复，立马就先截图了。不得不说，营得一手好销而且，我看到了刘炽平和马在腾讯的差距凭什么刘炽平务必回复，老师就不用务必回复啊？看不起谁呢？而且刘总就没个称呼，小马哥倒不忘喊而且，下次这种营销，可以假装是别人手机拍的截图，比自己截图往外发强。刘老师还是心善，怕他搞个已读未回的截图到时候带节奏，可能也是觉得这样的愣头青不多了，还敷衍了他一下。而且，刘老师回复的很巧妙我们跟阿里不一样，暗示我们没有这种文化。建议会转给，因为他们在做这个事（暗示我们有人在做，不需要你在这刷存在感）。
恶少恶言,72c05405363e6b117ce3436d85c0ffd2,2021-08-11 10:56:34,161,26,很明显就是蹭热度的自嗨，为了借这个事情自我营销。首先，没有调查就没有发言权。腾讯是不是有让同事陪酒的问题，如果你经过调查了，有这个问题那就提这个问题，如果人家根本没有这种问题（别想当然，我们大家都不知道人家有没有），那你这不是硬拗吗？真的没有这种问题，出台个这种制度是没问题，你一个实习生大声疾呼一个根本不存在的问题，不是很尴尬吗？其次，交流缺乏基本的礼貌，我们在同事之间，哪怕和下属说话，通常都不会加那么多感叹号，还有“务必回复”这种用语。你不相信哪个领导要是用务必回复跟下属说话，玻璃心点的都能直接在知乎发贴问了“如何看待领导和我网上说话总是让我务必回复？我应该怎么回复这种信息”，你不信底下个人骂资本家无情压榨。到你这可倒好，一个实习生直接开始压榨大领导了。扁平化的组织给你提供了你直接发声的渠道是好事，但不意味着你可以不遵循必要的交往礼数。你说务必回复，我给你回个“哦”可不可以？你又怎么办呢？然后把罗圈话又发大群里，然后发给自己老爸这种太做作了。谁都知道，你要是真想推动这个事，发大群里一点用也没有，你要的就是直接发给相关部门，也就是具体做这个事的部门。你要是给你爹说这个事，你绝不是这种用语去说，大家自己给自己亲爹怎么说话的脑补一下，是上面这种话么？然后还不巧地把这个贴到了网上，这要说不是自己想炒作打死我都不信。虽然说，他提议的也是个好事，但这个事在职场上是个人看着都觉得挺烦的，真的。作为小马哥，作为业务领导，换我，我会一愣，你咋知道我们没干这个事？当然我也会礼数到的回复一个，但只会觉得这孩子太幼稚。作为部门，我特么很生气，明明出了事我们部门都在加班加点弄相关的制度啥的，然后你特么在群里喊这么一嗓子，还贴到外网去，搞得象我们腾讯没有相关的制度一样，其实反性骚扰的东西哪个公司都是有的，就算是拒绝陪酒的大家也在加班整呢，这事很复杂，什么叫陪酒？怎么样算拒绝，怎么算半推半就，出了事咋处理？已经授予的股权激励怎么计算收回出个制度哪这么简单，牵扯扯东西很多，不是“禁止随地吐痰”彺墙上一贴就结束了。现在你这么一喊，喊的人倒是轻松了，其他人一看都觉得不作为一样（我特么明明在加班搞这个，只不过我搞这个我用不着通知你一实习生吧）。我能不生气吗？所以这种行为非常令人反感。作为一个实习生，或者员工，你要是真为了促成这个事，就好好去部门帮助干活，加快推进这个事，不要叉着腰喊一句，然后要别人务必回复。说白了他也不缺这一份工作，这个事儿弄好了自己可以借流量红一把，弄不好就算有什么恶果，领导讨厌也无所谓，反正也不缺这份实习工作。无所谓。
