ids,times,up,content
6830457128935636656,1628507883,880,我在想，像这样的电影，现在的00后会看吗？希望多拍一点这种电影，多加强爱国主义教育培养
6829966383439040369,1628390880,621,我是来看李易峰的。♥
6831479335228946434,1628751596,326,不太懂评论区里某些人为什么对00后有这么大偏见🙂商场里排队00后最守规矩，最不会占小便宜，过马路00后最讲交通规则，抗击疫情00后也冲在前线，奥运会也有00后夺冠的身影，00后已经长大了，而且成长得很快，因为活在最好的时代，受到最好的教育，他们比谁都爱国！还有那些说看明星演电影就是搞饭圈那一套的，真就离谱，追星和爱国完全就不冲突好吗，一定要这么对立吗？00后是多元的一代，包容的一代，上进的一代，别给00后搞些破标签，别把阅历当作否定下一代的资本，未来总会是后代的。
6830100367766604899,1628422824,468,我觉得我们中国的教育，应该把历史加入主考科，把英语改成选修科目。现在的孩子们有多少真正了解中国的历史的，有多少孩子知道这些为了解放中国牺牲的将士们。有多少我们国家培养的大学生，博士生最终效忠他国……应该反思一下了。
6829959778169400872,1628389305,460,前有李大钊先生和陈独秀先生一拍即合，后有毛泽东主席和周恩来总理惺惺相惜，同共开创和奠基了中国共产党
6830115395664235635,1628426407,101,评论区里面有的人是不是太把自己的主管想法当回事了，人家粉丝为了自己的偶像来支持电影怎么了，吃你家大米还是吃你家白面了，有哪条法律法规明令禁止，不许在爱国电影下面评论了，都有言论自由好嘛，也没说违法乱纪的话，更没做违法乱纪的事。请不要拿你们的假爱国来议论别人，戴着有色眼镜去看人，你还不如别人呢！都是中国人，为难这个为难那个，真的很没意思，你可以发表你对电影的感受，你也可以说出你觉得电影里面欠妥的地方，但请不要就着评论区人身攻击，真的很不好！
6829987056660133039,1628395809,244,“以青春之我，创建青春之家庭，青春之国家，青春之民族，青春之人类，青春之地球，青春之宇宙，资以乐其无涯之生。” ——李大钊
6829990180787643520,1628396554,80,先打个卡 为李易峰而来
6829967729286321250,1628391201,151,守常先生，您所期盼的盛世我们生在其中，是您和无数前辈用生命换来今日之中国。。。无论什么时候，中国人民决不会忘记您。
6830683657582034006,1628561891,39,我是V6我就牛批
6831540234421805580,1628766115,63,如今接受爱国电影也要开ViP？正在放暑假没有钱的学生怎么能够接受教育
6830091910686584408,1628420808,39,我相信😊我家峰峰冲鸭
6830048846207129967,1628410541,33,我在想这么一部爱国历史电影，竟然很多都是为某位演员而来!真是可笑至极啊、可笑至极……
6784380210738868045,1617522289,48,我在里面演的旷工
6829807691087363455,1628353045,26,我是里面的群演，感谢导演，连个虚画都没有，找不到自己的镜头好失望，拍这部戏的时候，一拍就是一整天，连个休息时间都没有
6829990239419646378,1628396568,38,泪目 这盛世如你所愿 守常先生
6831236031539197728,1628693588,15,蒋介石这个王八蛋，害死了多少共产党人。真的应该挖出来鞭尸！让他死无葬身之地。
6782145933447728560,1616989596,28,我们永远相信祖国会越来越昌盛强大
6786869637356389636,1618115815,23,我们中国人都相信而自豪…………✊👍💐💞敬爱的伟大领袖毛泽东（李易峰）超极棒棒哒👍👍👍💐💐💐💞💞💞💝💝💝💪💪💪敬慕爱戴支持优秀艺人李易峰👍👍👍❤❤❤🌷🌷🌷
6817775213926130329,1625484279,16,张桐的李大钊也很好
6831511768007716541,1628759328,27,李大钊先生，你想看到的新中国我们为你看到了，很美丽❤️
6829964879676200455,1628390521,16,伟大的中国共产党万岁，伟大的毛主席万岁，伟大的中国人民万岁
6782255599901150527,1617015743,19,革命先辈们你们相信的时代到来了
6816321890396128252,1625137779,13,这片应该公开。为什么要会员门槛？？？？
6830133976061851981,1628430837,5,非常感人的电影，是革命先辈宁死不屈的精神创造我们新生活，我眼泪流了好多。革命先辈的精神永不止步。
6830445888016364031,1628505203,10,我和我弟一起看的，他没哭他说好玩，我把他打哭了，
6831801907145480381,1628828503,6,我10后也在看，我姥爷上过战场，杀过鬼子。
6817097598370295006,1625322722,10,刚出电影院，想说些什么但是词穷，只想给大家说可以去看看，先驱们太伟大了！！！强烈推荐！！！！
6830002422010496559,1628399472,7,李易峰的粉丝能不能管理一下？在革命先烈的故事中还在弹幕刷为了峰峰来，真的很败路人感，别人那些明星的粉丝哪像李易峰的粉丝在弹幕刷，别人也都是明星，就你们真的让人败好感🙂
6816448848630151226,1625168049,14,我不知道是我读书少了还是什么。7月1号是我理解错了吗？
6830433187877767885,1628502175,3,张作霖杀了李大钊，绝了张学良投奔共产党的路
6816539113327981489,1625189569,8,我也以为是7月1号都可以看了，看了评论才知道只有影院上映了，准备买票去看，才发现附近的影院因为疫情都没营业😂😂
6830393223517183422,1628492647,5,守常先生，这盛世您看见了吗？如您所愿的一样
6830079832118683440,1628417928,7,我是一个唐山人，原籍乐亭，是听着李大钊先生的事迹长大的，也去过很多次李大钊纪念馆，但没看过以他为主人公的影视作品，在看这部电影前，我以为我很了解这位革命者，但看过电影之后，我感到我根本算不上了解他，是电影呈现了一位有血有肉的李守常在观众眼前，他对信仰的忠贞、对穷苦百姓的同情、对志同道合者的支持，他言行的力量、他革命的意志，都让我更近一步认识了这位革命先驱！他不再只是存在于文字和画像中，而是和他的主义一起深入我心。电影叙事结构精巧，在临行前闪回的倒叙、插叙的回忆里，哪个时代的历史人物穿插交汇，在思想的冲突、乱世的暗夜里，他是最坚定、最相信的那个人！这种伟大的力量感染、激励了无数中国人，中国革命正是凭着这种力量最终获得胜利。可能电影的票房不够理想，但作为一个普通观众，我想说，这是一个不但拿得出手，而且质量上乘的好作品，是可以留给下一代去欣赏和学习的，票房固然重要，但完美艺术作品的呈现本身就是一种成功！
6831944143946536441,1628862415,6,李大钊是为人民，为中国而死的，所以他的死比泰山还重。
6830175802353405654,1628440809,9,这是一部很优秀的电影作品，我也是作为李易峰的粉丝过来看的，我很荣幸峰峰参演了这么优秀的作品。大家可能又说我很可怜，只知道追星而忘了我们这个国家，但是没有这个国家又哪来的我们呢？这一点我相信很多人都能够明白，我从来没有将爱国抛之脑后，我看过很多关于建党、抗战、解放战争的片子，包括前段时间很受大家欢迎的觉醒年代和光荣与梦想等等。如果我们作为粉丝能够将这部优秀的作品推广给更多的人，让更多的人去感受这部作品所带来的魅力，那何乐而不为呢？
6831079434129128014,1628656252,6,和觉醒年代比好空洞
6830339723345407889,1628479891,8,这种的电影为什么评分才7.6。美国的电影就得8点多这是为什么，中国人看了这种电影心理都毫无波澜吗？
6820005867879383776,1626016108,9,纪念了李大钊，这部作品非常优秀
6831884291903740788,1628848145,5,看了评论真是忍不了了，首先声明我是李易峰的粉丝，并且还是00后，来看这部剧不是因为什么追星，反而是因为看了这部剧才发现有李易峰出演，这让我觉得惊喜也很骄傲。大多数粉丝都是理智的，我们明白在这样的革命题材下说追星的话题未免太不合时宜、太不分场合，所以我们都没有出来发表任何意见。直到我看见一些评论对明星粉丝的恶意如此之大，对一些00后的看法过于偏激，我想说说我的观点。在这个信息时代，我们年轻一代有更多的渠道去了解国家的底蕴，去学习更多的历史知识，去感受更加深刻的爱国情怀，不再局限于上书本，也可以是电视剧电影作品等等。正是因为这样的文化熏陶，我们深爱热爱这片土地，尊重每一位革命先辈，想要去了解更多历史文化，感受当初的革命精神，于是我点开了这些电影。建党建军建国，近代现代，内战外战，旧民主主义新民主主义，推翻封建建立共和，外交的演变，经济的发展，文化的启蒙，太多太多，我们或许还太小，有待我们钻研学习的知识还很多，我们始终保持谦逊的态度。可是评论里说00后的小孩只知道追星，试问究竟是您的偏见太大眼光太浅还是我们不懂礼貌不知分寸呢？我喜爱革命题材，更渴望有更多优秀的作品可以让我们学习感受，同时我也为自己喜爱的偶像演这样伟大的人物而自豪，因为毕竟这样的角色也是需要一个优秀的演员来演绎的。那些站在道德制高点指责别人的人是否也想过为自己的言论负责呢？扪心自问难道你自己就光荣伟大比别人更明事理吗？
6830033580383403794,1628406901,5,没有这些革命先辈，就没有新中国
6831422835626403794,1628738125,4,看到弹幕上很多人都在说00后，我想说的是，00后也一样有很了解历史、很尊重历史、很敬佩历史的人，还有很多人都在说这种电影就应该让00后来看，我想说的是00后看的这种电影不一定就比大家少，没必要这样子以偏概全，抗击疫情一线、河南暴雨一线、奥运会运动员，00后正在逐渐的登上历史的舞台，年纪的大小并不是评价一个人是否爱国的根本，年纪大的不一定爱国，年纪小的也未必不爱国，历史是值得每一个人去学习的，而不是只有其中一代，大局观和正确的爱国观以及良好的三观不是因年龄而定的，记得央视某档节目曾说过，年轻的一代比任何一代都更加爱国，因为他们出生时，中国的实力就已经非常强大了，就是在这种环境之下，他们才更加懂得如今的生活美好，所以请不要再用固有思维去评判任何一代，每一代都会有一些走极端的人，但那些走极端的人并不能代表这一代
6831900439974142023,1628851995,5,我很爱国，这种意义的电影很值得推荐，不过导演的技术该多提升一下，根本不知道在演什么，一会儿演这里一会那里，特别特别乱，虽然其他电影也有类似的插叙方式，但真的不该这么乱且没有头绪，给导演的分可能就五分，给题材十分
6830140910638864877,1628432490,6,守常先生，您好 这正是你所希望看到的国之盛世，我们很荣幸身在其中，正是因为你们无惧死亡无畏艰难，引领先辈开创国之未来，是你们的牺牲唤醒千千万万中国同胞对旧世界迫切的革命和对新中国成立的渴望，并为之奋斗终身的信念。国之富强，国泰民安，而如今，祖国会越加繁荣强大，中华人民也绝不会忘了你们，我们会一直跟随你的脚步，为祖国的建设添砖加瓦，请您放心
6830015124133000912,1628402501,9,我从黑暗中反叛而来，却不属于未来的光明之地 我的脚踏在黑暗 和光明的交锋处上 或许有一天，黑暗会把我吞噬 可是为了你们，为了你们能走向光明，拥抱光明 我 我愿意去，直面黑暗 因为我相信，总有一天 阳光会普照整片中国大地 我坚信
6816517749845719475,1625184476,9,没有他们的爱国，牺牲，怎会有现在的中国，向前辈，英雄们致敬
6830135222558665940,1628431134,9,电影院看过 今天网播再来看看 致敬革命先辈 致敬守常先生 敬爱的毛主席
6833386646751209593,1629206334,2,没有先驱者开拓者来武装我们的思想，我们新中国不会短短几十年发展到今天伟大的中国共产党万岁
6829996912829948044,1628398159,7,致敬革命者 先辈的力量汇集才有了中国 后辈的努力创新了中国 从来都没有什么岁月静好 只是有人在默默守护着我们的国家和人民 剧中守常先生的扮演者张颂文 很好地诠释了李大钊这一革命者 是值得肯定的 还有毛教员的扮演者李易峰 也体现了年轻时期的毛教员的面貌和精神…整部剧看下来很有感触 也能让更多年轻人深入了解中国的革命是多么来之不易 吾辈青年当自强因为我们可以无条件地永远相信中国🇨🇳
6829996237991598510,1628397998,4,这个年代播老年代的片子，算什么？我只希望建党初期，如今的党还是那个党
6830045948400247578,1628409850,3,1分12秒，我就看完了
6832832432836715588,1629074199,3,是，我是李易峰的粉丝，有一部分原因是为了看他，尽管这一段历史在我中学时期已经背得滚瓜烂熟，但我全程很安静地在看，从头哭到尾，没有刷弹幕，没有带一点其他感情，只是作为一名大学生，一位从小到大对祖国有崇高敬仰的00后。我不知道自己的身份为何会受到鄙夷，难道我不能看这样一部爱国电影?只因我是李易峰的粉丝，是一个00后，我就不配拥有一颗炽热的爱国之心?
6814129697446888427,1624615120,9,看预告已经泪崩了 ，7月1日是建党节，我非常喜欢，我也希望我能在这一天看
6831447412192469558,1628743985,6,？？？谁说00后不爱看这类电影？我2009年的，从小和我爷看抗日战争片。
6831382184809354114,1628728433,6,还有类似的电影嘛，兄弟们推荐推荐
6830695141850625844,1628564629,6,前段时间看了《觉醒年代》，讲了共产党成立早期的一批觉醒的人，李大钊、陈独秀、毛泽东等等。每每看到历史剧，都激动地落泪。是啊，他们只是历史长河中某一个重要阶段的觉醒者，用生命来换取奴役了很久的人们的觉醒，还有《辛亥革命》电影，总有人为我们负重前行。也正因如此，我们中华民族才从风雨飘摇的时节实现民族独立，换来了如今这盛世太平！每每看完，我都很有力量，可能是这些前辈们的这股力量感染着我，让我也不畏艰难险阻，勇攀属于自己的高峰！
6831954236662499536,1628864821,5,从小就从课本上知道了李大钊的伟大，但是长大了才知道他的伟大是我无法想象的伟大
6830407250633173074,1628495991,2,不用再说什么跑历史电影里来追星，我们身为粉丝，从他出演革命者官宣的这一刻起我们就比你们更加知道这是演的什么讲的什么意义历史如何如何，你们拿起键盘就评论，以为自己是网络圣人吗？先人们让你们学网络暴力他人了吗？看个电影还整这么多事，好好看各位的电影吧，追星与爱国不冲突！我们粉丝更加知道这电影的寓意！谢谢！
6809454314269418215,1623500422,9,说实话，峰哥饰演毛泽东挑战真的很大诶，毕竟毛爷爷是个伟人，很难演出他那时的那种气质，感觉有点悬啊，不过还是加油吧
6816168563988525742,1625101223,4,守常先生千古！！！！
6818527675729563565,1625663680,8,觉醒年代yyds，永远
6830039406196353198,1628408290,4,看完这部电影后，好感动啊，革命者们都好伟大啊
6821630860031665805,1626403536,5,为啥还看不了？
6832019575265949643,1628880399,3,蒋介石于孙中山先生去逝之后就只是一个迂腐，无能目光短浅之人，内患未除却想着争权夺利，怕共产党的人越来越多影响越来越大，于是开始残忍杀害共产党人。终究历史会选择对的人。
6818595555941479940,1625679863,7,革命者绝对是值得一看的！虽然有人提前退场了！但是只能说他们不懂历史，不尊重历史！反正我看的眼泪直淌！
6830128435382069910,1628429516,6,虽然我是李易峰的粉丝，但我是因为了解历史，也是随他想让我们这些粉丝了解历史。在弹幕刷李易峰名字的也请分清楚场合，关于历史主题的影片我们应该严肃，应该铭记于心。中国🇨🇳加油！（仅个人而言）
6830236746043508774,1628455339,5,这部剧是拿给你们给明星打卡的？我一个00后都觉得你们真的悲哀
6830001556700406886,1628399266,6,怎么没看见你？峰哥
6833267103038975821,1629177833,1,希望这部电影在我们的小学，中学，大学播放，因为00后的很多孩子没有真正了解我们的历史，不知道我们的国家人民曾经经历过怎样的苦难，一定要居安思危，盲目跟随日韩欧美风无意中做了汉奸都不知道！我们的祖先为了我们的未来，他们成受了那么多苦难才有今天的和平幸福的中国，一定要珍惜，忆苦思甜！
6830078472732156039,1628417604,2,致敬革命先烈！但电影拍得确实不太好
6817332187071266634,1625378653,4,真的很感人 革命英雄真伟大 向他们致敬
6816984030416220599,1625295646,8,看不懂不要紧，爱国就可以
6816286717834178750,1625129394,5,今天去看了，幸福的生活来之不`易
6831240337013227612,1628694614,5,一切如您所愿，我们在新中国幸福快乐生活着。
6830076256445162122,1628417076,4,我不是来看某位明星的，我是来学习的，抛头颅洒热血致敬先烈
6830010899365756264,1628401493,4,加油中国🇨🇳，为像守常先生一样为新中国而无私奉献的人们
6830039657900681148,1628408350,3,下次你路过，人间已无我。但我的国家，依旧是五岳向上，一切江河依然滚滚向东，民族的意志永远向前，向着热气腾腾的太阳，和你一样。
6830165578963892648,1628438372,3,我看的是中国历史是历代革命先辈革命的历史不是为了看个别明星的
6830033588222557983,1628406903,5,为（我老公）李易峰来看的
6830121153411835330,1628427780,2,听到最后的歌曲热血沸腾，🇨🇳🇨🇳🇨🇳
6830119435588495810,1628427370,3,李大钊先生开共产主义先河，以血肉之身唤醒沉睡太久的中华雄狮，太宏观的革命先烈，很震撼
6831429725072529136,1628739768,1,少帅不帅！而且还说“李大钊该杀”，挺坏的！
6831521415326228133,1628761628,7,向革命先烈致敬，应该把英语列为选修，把主科历史，语文，数学!
6830201536643996549,1628446945,3,我84的..小学时学习组织看邓世昌看甲午战争……现在小学也真该组织看看电影了……不要以男不男女不女..历代中国兴衰成败民族忧患..爱国务必懂近史
